hdi_rank;country;gii_value;gii_rank;mmr;abr;ssp;ssp_note;edu_female;edu_female_note;edu_male;edu_male_note;edu_diff;labour_female;labour_male;labour_diff;human-development
162;Lesotho;0,557;126;620;89,4;26,8;;21,9;;19,8;;2,11406;58,8;73,3;-14,5;low
163;Senegal;0,537;119;370;94,4;42,7;;7,2;;15,4;;-8,24825;65,9;88;-22,1;low
164;Uganda;0,529;115;310;126,6;35;;22,9;;33,5;;-10,63858;75,9;79,3;-3,4;low
165;Benin;0,614;134;350;90,2;8,4;;11,2;e;25,6;e;-14,4;67,5;78,3;-10,8;low
166;Sudan;0,628;140;730;84;24,1;;12,8;e;18,2;e;-5,43496174;31,2;76;-44,8;low
166;Togo;0,579;129;300;91,5;15,4;;15,3;e;45,1;e;-29,8;80,7;81,2;-0,5;low
168;Haiti;0,599;132;350;42;3,5;;22,5;e;36,3;e;-13,84116356;60,6;70,8;-10,2;low
169;Afghanistan;0,705;149;460;86,8;27,6;;5,8;e;34;e;-28,18322785;15,7;79,7;-64;low
170;Djibouti;-1;-1;200;18,6;12,7;;-1;;-1;;0;36,1;67,3;-31,2;low
171;Côte d'Ivoire;0,645;143;400;130,3;10,4;;13,7;e;29,9;e;-16,23725844;52,2;81,5;-29,3;low
172;Gambia;0,624;139;360;115,8;7,5;;16,9;e;31,4;e;-14,50428571;72,2;83;-10,8;low
173;Ethiopia;0,547;121;350;78,4;25,5;;7,8;;18,2;;-10,44717;78,2;89,4;-11,2;low
174;Malawi;0,591;131;460;144,8;22,3;;10,4;;20,4;;-9,98227571;84,7;81,3;3,4;low
175;Liberia;0,655;145;770;117,4;11,7;;15,7;e;39,2;e;-23,52541254;58,2;64,7;-6,5;low
176;Mali;0,673;148;540;175,6;10,2;;7,7;;15,1;;-7,36538;50,6;81,4;-30,8;low
177;Guinea Bissau;-1;-1;790;99,3;14;;-1;;-1;;0;68,1;78,5;-10,4;low
178;Mozambique;0,657;146;490;137,8;39,2;;1,5;e;6;e;-4,515525876;26,3;75,8;-49,5;low
179;Guinea;-1;-1;610;131;-1;;-1;;-1;;0;65,5;78,3;-12,8;low
180;Burundi;0,501;104;800;30,3;34,9;;5,2;e;9,3;e;-4,1;83,2;81,8;1,4;low
181;Burkina Faso;0,607;133;300;115,4;15,7;;0,9;;3,2;;-2,3224;77,1;90,1;-13;low
182;Eritrea;-1;-1;240;65,3;22;;-1;;-1;;0;79,9;89,8;-9,9;low
183;Sierra Leone;0,643;141;890;100,7;12,4;;9,5;e;20,4;e;-10,93065954;65,7;68,9;-3,2;low
184;Chad;0,707;150;1100;152;14,9;;1,7;;9,9;;-8,19733;64;79,2;-15,2;low
185;Central African Republic;0,654;144;890;98,3;12,5;i;10,3;e;26,2;e;-15,88165997;72,5;85,1;-12,6;low
186;Democratic Republic of the Congo;0,669;147;540;135,3;8,3;;10,7;e;36,2;e;-25,5;70,7;73,2;-2,5;low
187;Niger;0,709;151;590;204,8;13,3;;2,5;e;7,6;e;-5,08;39,9;89,8;-49,9;low
-1;South Korea;-1;-1;81;0,6;15,6;;-1;;-1;;0;72,3;84,2;-11,9;other
-1;Marshall Islands;-1;-1;-1;-1;3;;-1;;-1;;0;-1;-1;0;other
-1;Monaco;-1;-1;-1;-1;20,8;;-1;;-1;;0;-1;-1;0;other
-1;Nauru;-1;-1;-1;-1;5,3;;-1;;-1;;0;-1;-1;0;other
-1;San Marino;-1;-1;-1;-1;18,3;;-1;;-1;;0;-1;-1;0;other
-1;Somalia;-1;-1;1000;110,4;13,8;;-1;;-1;;0;37,2;75,6;-38,4;other
-1;South Sudan;-1;-1;-1;75,3;24,3;;-1;;-1;;0;-1;-1;0;other
-1;Tuvalu;-1;-1;-1;-1;6,7;;-1;;-1;;0;-1;-1;0;other
